ip,port
72.10.160.90,1959
72.10.164.178,2285
72.10.160.90,21383
72.10.160.173,10683
67.43.228.253,3523
79.174.12.190,80
67.43.228.253,8925
67.43.228.253,27083
67.43.228.253,8289
67.43.236.20,20225
72.10.164.178,25913
72.10.160.173,13837
72.10.160.171,6891
72.10.164.178,8215
72.10.160.174,11083
201.211.111.141,8080
195.199.240.179,8080
198.44.255.3,80
170.245.132.82,9000
195.234.62.51,80
196.204.24.254,8080
198.23.176.76,3128
195.167.114.96,8080
173.209.51.254,8081
41.204.63.118,80
38.7.20.137,999
43.252.11.68,8484
41.128.148.79,1981
195.39.194.8,80
170.85.55.2,10160
